Lp.,Nazwa,Pasmo,Rx,Rx CTCSS,Rx DCS,Tx,QTH,QTH lokator,Latitude,Longitute,Informacje
1,OK0BAJ,70cm,431.725000,,,439.325000,Jihlava,JN79sj,49.39683200,15.57117800,https://mapy73.pl/repeater/OK0BAJ
2,OK0BCA,70cm,431.275000,,,438.875000,Liščí hora - Krkonoše,JO70uq,50.68400200,15.70099700,https://mapy73.pl/repeater/OK0BCA
3,OK0BDV,70cm,431.325000,,,438.925000,Ceske Budejovice,JN78ir,48.73836100,14.72427500,https://mapy73.pl/repeater/OK0BDV
4,OK0BEA,70cm,431.400000,,,439.000000,Klášterec nad Ohří,JO60oj,50.40500000,13.18805600,https://mapy73.pl/repeater/OK0BEA
5,OK0BK,70cm,431.400000,,,439.000000,Kladno,JO70ad,50.14000000,14.07861100,https://mapy73.pl/repeater/OK0BK
6,OK0BL,70cm,431.700000,,,439.300000,Čerchov,JN69jj,49.38418600,12.78594500,https://mapy73.pl/repeater/OK0BL
7,OK0BLI,70cm,431.500000,,,439.100000,Lipno Blizna,JN78br,48.72367900,14.09063900,https://mapy73.pl/repeater/OK0BLI
8,OK0BPT,70cm,431.475000,,,439.075000,Prachatice - Libín,JN79aa,49.03624600,14.04228800,https://mapy73.pl/repeater/OK0BPT
9,OK0BRQ,70cm,431.950000,,,439.550000,Brno - Kohoutovice,JN89ge,49.20206700,16.53405200,https://mapy73.pl/repeater/OK0BRQ
10,OK0BRT,70cm,431.600000,,,439.200000,V.Popovice - Brtnice,JN79hv,49.91256000,14.63902700,https://mapy73.pl/repeater/OK0BRT
11,OK0BSJ,70cm,431.887500,,,439.487500,Svaty Jan nad Malsi,JN78gt,48.82392900,14.50828500,https://mapy73.pl/repeater/OK0BSJ
12,OK0BTA,70cm,431.200000,,,438.800000,Jistebnice TA,JN79gl,49.49054000,14.53294300,https://mapy73.pl/repeater/OK0BTA
13,OK0DAN,70cm,431.312500,,,438.912500,Zatec - Ceradice,JO60rh,50.30478900,13.49536700,https://mapy73.pl/repeater/OK0DAN
14,OK0DG,70cm,431.400000,,,439.000000,Adamov,JN79ga,49.00255500,14.55069400,https://mapy73.pl/repeater/OK0DG
15,OK0DHD,70cm,430.850000,,,438.450000,Blansko Šošůvka,JN89jj,49.41275000,16.75425600,https://mapy73.pl/repeater/OK0DHD
16,OK0DHU,70cm,431.825000,,,439.425000,Havluv Kopec,JN79pm,49.53636200,15.32603100,https://mapy73.pl/repeater/OK0DHU
17,OK0DJ,70cm,431.550000,,,439.150000,Jested,JO70lr,50.73250000,14.98444400,https://mapy73.pl/repeater/OK0DJ
18,OK0DPA,70cm,431.025000,,,438.625000,Pavlov,JN79sg,49.25027100,15.54944400,https://mapy73.pl/repeater/OK0DPA
19,OK0DRB,70cm,431.887500,,,439.487500,Plavec Jesenice,JO60rb,50.07963900,13.49988000,https://mapy73.pl/repeater/OK0DRB
20,OK0DRO,70cm,431.000000,,,438.600000,Rokycany,JN69tr,49.73400100,13.59714800,https://mapy73.pl/repeater/OK0DRO
21,OK0DSK,70cm,431.000000,,,438.600000,Ostrava-Kubankov,JN99dp,49.63259000,18.26449000,https://mapy73.pl/repeater/OK0DSK
22,OK0DV,70cm,431.675000,,,439.275000,Zelezne Hory,JN79sv,49.89630100,15.57530000,https://mapy73.pl/repeater/OK0DV
23,OK0DZO,70cm,431.900000,,,439.500000,Svaty Kopecek,JN89qp,49.63396100,17.34043500,https://mapy73.pl/repeater/OK0DZO
24,OK0EB,70cm,439.175000,,,431.575000,Kleť - Blanský les,JN78du,48.86727600,14.28111300,https://mapy73.pl/repeater/OK0EB
25,OK0G,2m,144.987500,,,145.587500,Libin,JN78ax,48.97851200,14.01112900,https://mapy73.pl/repeater/OK0G
26,OK0KOP,70cm,431.600000,,,439.200000,Kopanky,JN88vx,48.96099100,17.79558900,https://mapy73.pl/repeater/OK0KOP
27,OK0MM,2m,145.025000,,,145.625000,Kozlov u Chyšek,JN79fm,49.52083000,14.45833000,https://mapy73.pl/repeater/OK0MM
28,OK0ND,70cm,431.425000,,,439.025000,Praha,JO70eb,50.08066600,14.38759800,https://mapy73.pl/repeater/OK0ND
29,OK0OZL,70cm,431.125000,,,438.725000,Zlín,JN89ue,49.20049700,17.69092200,https://mapy73.pl/repeater/OK0OZL
30,OK0PI,70cm,431.675000,,,439.275000,Jarník,JN79ch,49.30888900,14.18861100,https://mapy73.pl/repeater/OK0PI
31,OK0Z,70cm,431.800000,,,439.400000,Kelcsky Javornik,JN89vj,49.40039100,17.76809900,https://mapy73.pl/repeater/OK0Z
32,OK0ZAT,70cm,431.675000,,,439.275000,Žatec,JO60sh,50.31854100,13.54217200,https://mapy73.pl/repeater/OK0ZAT
