Lp.,Nazwa,Pasmo,Rx,Rx CTCSS,Rx DCS,Tx,QTH,QTH lokator,Latitude,Longitute,Informacje
1,SR1ASR,70cm,431.025000,,,438.625000,Szczecin,JO73gk,53.45680600,14.54772900,https://mapy73.pl/repeater/SR1ASR
2,SR1B,2m,145.012500,,,145.612500,Broczyno,JO83dm,53.51927300,16.31202900,https://mapy73.pl/repeater/SR1B
3,SR1DMR,2m,145.150000,,,145.750000,Polanów,JO84ic,54.12448800,16.68559900,https://mapy73.pl/repeater/SR1DMR
4,SR1KG,70cm,431.625000,,,439.225000,Kołobrzeg,JO74se,54.17828400,15.55320700,https://mapy73.pl/repeater/SR1KG
5,SR1UVX,70cm,431.787500,,,439.387500,Stargard,JO73mi,53.34243100,15.02488900,https://mapy73.pl/repeater/SR1UVX
6,SR1W,2m,145.012500,,,145.612500,Świnoujście,JO73dv,53.90951100,14.25461200,https://mapy73.pl/repeater/SR1W
7,SR1WAD,70cm,431.050000,,,438.650000,Wałcz,JO83fg,53.27813200,16.48336400,https://mapy73.pl/repeater/SR1WAD
8,SR2DCH,70cm,430.787500,,,438.387500,Człuchów,JO83qp,53.66043600,17.37939800,https://mapy73.pl/repeater/SR2DCH
9,SR2GDD,70cm,430.687500,,,438.287500,Gdańsk,JO94ii,54.35417000,18.70833000,https://mapy73.pl/repeater/SR2GDD
10,SR2IN,70cm,430.637500,,,438.237500,Inowrocław,JO92dt,52.79385000,18.26069000,https://mapy73.pl/repeater/SR2IN
11,SR2UVF,70cm,431.337500,,,438.937500,Bydgoszcz,JO93bd,53.14233300,18.13474200,https://mapy73.pl/repeater/SR2UVF
12,SR2UVG,70cm,431.237500,,,438.837500,Chwaszczyno EMITEL,JO94fk,54.45275300,18.43594900,https://mapy73.pl/repeater/SR2UVG
13,SR2UVO,70cm,431.362500,,,438.962500,Włocławek,JO92mp,52.64211000,19.05158000,https://mapy73.pl/repeater/SR2UVO
14,SR3DAB,70cm,430.975000,,,438.575000,Dąbie,JO92kd,52.12634000,18.85588000,https://mapy73.pl/repeater/SR3DAB
15,SR3DGW,70cm,430.950000,,,438.550000,Gorzów Wielkopolski,JO72pr,52.74424900,15.28042400,https://mapy73.pl/repeater/SR3DGW
16,SR3DKA,70cm,430.800000,,,438.400000,Kalisz,JO91br,51.74218800,18.09583300,https://mapy73.pl/repeater/SR3DKA
17,SR3DMR,2m,145.012500,,,145.612500,Poznań,JO82kl,52.45915600,16.90593300,https://mapy73.pl/repeater/SR3DMR
18,SR3DOS,70cm,430.687500,,,438.287500,Ostrów Wielkopolski,JO81vp,51.65973800,17.79778000,https://mapy73.pl/repeater/SR3DOS
19,SR3DRW,70cm,430.737500,,,438.337500,Rawicz,JO81ko,51.60944000,16.86776900,https://mapy73.pl/repeater/SR3DRW
20,SR3DSE,70cm,431.137500,,,438.737500,Śrem,JO82mc,52.08615600,17.02201600,https://mapy73.pl/repeater/SR3DSE
21,SR3DZG,70cm,431.362500,,,438.962500,Zielona Góra,JO71sw,51.93551000,15.52710700,https://mapy73.pl/repeater/SR3DZG
22,SR3KA,70cm,431.775000,,,439.375000,Kaszczor,JO81bx,51.95896700,16.16293700,https://mapy73.pl/repeater/SR3KA
23,SR3MDV,70cm,431.975000,,,439.575000,,JO81hu,51.84443100,16.59403300,https://mapy73.pl/repeater/SR3MDV
24,SR3ZBZ,70cm,430.762500,,,438.362500,Chodzież,JO82kx,52.99828800,16.90670400,https://mapy73.pl/repeater/SR3ZBZ
25,SR4BI,70cm,430.862500,67.0,,438.462500,Juchnowiec,KO13na,53.01554200,23.13521900,https://mapy73.pl/repeater/SR4BI
26,SR4DGD,70cm,430.650000,,,438.250000,Góra Dylewska EMITEL,JO93xn,53.54937500,19.94045400,https://mapy73.pl/repeater/SR4DGD
27,SR4DX,70cm,431.900000,,,439.500000,Pasłęk,JO94tb,54.06098900,19.61899200,https://mapy73.pl/repeater/SR4DX
28,SR4L,70cm,430.500000,,,438.100000,Łomża,KO13ae,53.18300500,22.05219200,https://mapy73.pl/repeater/SR4L
29,SR4MID,70cm,430.625000,,,438.225000,Miłki k/Giżycka EMITEL,KO03ww,53.93772700,21.84476400,https://mapy73.pl/repeater/SR4MID
30,SR4MWO,70cm,430.550000,67.0,,438.150000,Mrągowo,KO03pu,53.86633300,21.28591100,https://mapy73.pl/repeater/SR4MWO
31,SR4OND,70cm,430.900000,,,438.500000,Olsztyn,KO03fs,53.77059200,20.49013400,https://mapy73.pl/repeater/SR4OND
