Lp.,Nazwa,Pasmo,Rx,Rx CTCSS,Rx DCS,Tx,QTH,QTH lokator,Latitude,Longitute,Informacje
1,OK0AA,2m,145.062500,103.5,,145.662500,Mešnice  okr. Pelhřimov,JN79qj,49.37749000,15.39731600,https://mapy73.pl/repeater/OK0AA
2,OK0AC,2m,145.162500,88.5,,145.762500,Drahlín,JN69xr,49.74439900,13.95233000,https://mapy73.pl/repeater/OK0AC
3,OK0ACC,2m,145.162500,136.5,,145.762500,Obecnice  Drahlín - Sádka,JN69xr,49.74439100,13.95230400,https://mapy73.pl/repeater/OK0ACC
4,OK0AD,2m,145.000000,,,145.600000,Ostrava-Poruba,JN99bu,49.85416700,18.12500000,https://mapy73.pl/repeater/OK0AD
5,OK0AE,2m,145.012500,,,145.612500,Krkavec,JN69qt,49.80300000,13.34148000,https://mapy73.pl/repeater/OK0AE
6,OK0AH,2m,145.137500,,,145.737500,Uherský Brod,JN89ta,49.02083000,17.62500000,https://mapy73.pl/repeater/OK0AH
7,OK0B,2m,145.125000,,,145.725000,Jablonec,JO70or,50.71091100,15.23733400,https://mapy73.pl/repeater/OK0B
8,OK0BAB,70cm,431.325000,88.5,,438.925000,Brno - Lesná,JN89hf,49.23487400,16.62191700,https://mapy73.pl/repeater/OK0BAB
9,OK0BAD,70cm,431.150000,88.5,,438.750000,Písek - Brdy,JN79as,49.77083000,14.04167000,https://mapy73.pl/repeater/OK0BAD
10,OK0BAF,70cm,431.250000,88.5,,438.850000,Svratouch  Otava,JN89ar,49.73501100,16.03439200,https://mapy73.pl/repeater/OK0BAF
11,OK0BAF,70cm,431.000000,,,438.600000,Svratouch  Otava,JN89ar,49.73501100,16.03439200,https://mapy73.pl/repeater/OK0BAF
12,OK0BAP,70cm,431.700000,88.5,,439.300000,Litomyšl - Libecina,JN89bv,49.88805600,16.11888900,https://mapy73.pl/repeater/OK0BAP
13,OK0BBF,70cm,431.525000,88.5,,439.125000,Suchý vrch - Orlické Hory,JO80ib,50.05069700,16.69354300,https://mapy73.pl/repeater/OK0BBF
