Lp.,Nazwa,Pasmo,Rx,Rx CTCSS,Rx DCS,Tx,QTH,QTH lokator,Latitude,Longitute,Informacje
1,SR0CK,70cm,431.462500,77.0,,439.062500,Serock,KO02mm,52.51452000,21.06852100,https://mapy73.pl/repeater/SR0CK
2,SR2EL,70cm,431.950000,94.8,,439.550000,Elbląg,JO94rd,54.13802200,19.45606600,https://mapy73.pl/repeater/SR2EL
3,SR2GA,70cm,431.375000,94.8,,438.975000,Władysławowo,JO94es,54.77767300,18.41312900,https://mapy73.pl/repeater/SR2GA
4,SR2GD,70cm,431.475000,94.8,,439.075000,Gdańsk,JO94hi,54.34704000,18.66579300,https://mapy73.pl/repeater/SR2GD
5,SR2GDA,70cm,431.750000,94.8,,439.350000,Smętowo Graniczne,JO93ir,53.74757600,18.69018100,https://mapy73.pl/repeater/SR2GDA
6,SR2GR,70cm,431.600000,94.8,,439.200000,Grudziądz,JO93jl,53.48156000,18.75563000,https://mapy73.pl/repeater/SR2GR
7,SR2GRU,2m,145.087500,94.8,,145.687500,Grudziądz,JO93jl,53.47917000,18.79167000,https://mapy73.pl/repeater/SR2GRU
8,SR2PA,70cm,431.700000,94.8,,439.300000,Pasłęk,JO94tb,54.06548600,19.65921700,https://mapy73.pl/repeater/SR2PA
9,SR2PB,2m,145.137500,254.1,,145.737500,Brodnica,JO93qf,53.24299200,19.39420100,https://mapy73.pl/repeater/SR2PB
10,SR2SWR,70cm,431.175000,88.5,,438.775000,Toruń,JO93ha,53.01715800,18.60185500,https://mapy73.pl/repeater/SR2SWR
11,SR2T,2m,145.175000,,,145.775000,Toruń,JO93ia,53.02558600,18.68846100,https://mapy73.pl/repeater/SR2T
12,SR3SN,70cm,431.500000,100.0,,439.100000,Świebodzin,JO72rf,52.24440000,15.49920000,https://mapy73.pl/repeater/SR3SN
13,SR4BI,70cm,430.862500,67.0,,438.462500,Juchnowiec,KO13na,53.01554200,23.13521900,https://mapy73.pl/repeater/SR4BI
14,SR4EL,70cm,431.450000,94.8,,439.050000,Elbląg,JO94qe,54.18901500,19.39418700,https://mapy73.pl/repeater/SR4EL
